"id","sex","age","rs","fid","agef","daddiff","rsf","mid","agem","mumdiff","rsm"
"vtkwf","m",26.6739730834961,0,"nsvei",50.6904106140137,24.0164375305176,5,"wm98b",36.04931640625,9.37534236907959,3
"hx0qw","m",21.668493270874,0,"lxdio",NA,NA,NA,"sugb4",58.0410957336426,36.3726043701172,7
"yiaj1","f",41.6821899414062,1,"xp939",69.4602737426758,27.7780818939209,6,"f2m2s",71.7041091918945,30.0219173431396,3
"emmdz","f",21.668493270874,0.819999992847443,NA,NA,NA,NA,"wkilb",42.6849327087402,21.0164375305176,2
"r5ond","m",43.6849327087402,10.6400003433228,"qqwmq",69.7013702392578,26.0164375305176,5,"zjnn6",64.6986312866211,21.0136985778809,5
"w3g1l","f",40.6821899414062,6.6399998664856,"g55ic",78.5589065551758,37.8767127990723,7,"h539p",70.0383529663086,29.356164932251,7
"kq0su","m",27.7479457855225,0,"ua5zs",50.9917793273926,23.2438354492188,6,NA,NA,NA,NA
"eu9za","f",20.3397254943848,0.819999992847443,"djtm0",65.6986312866211,45.3589057922363,8,"gapa8",62.6986312866211,42.3589057922363,8
"dv2wo","f",19.9123287200928,1,"qk8ur",68.0356140136719,48.1232872009277,6,"nbzo2",62.6986312866211,42.7863006591797,3
"ybas4","f",33.2684936523438,1,"a9li1",81.5369873046875,48.2684936523438,8,"siwhu",71.1600036621094,37.8915061950684,8
"il6db","f",51.6904106140137,6,NA,NA,NA,NA,NA,NA,NA,NA
"kzzxj","f",46.687671661377,4.82000017166138,"j02o1",77.0400009155273,30.3523292541504,4,"dysgr",81.6958923339844,35.0082206726074,4
"zpbwe","m",37.4986305236816,4.6399998664856,"rb1sk",62.1863021850586,24.687671661377,6,"ov36g",56.6931495666504,19.1945209503174,6
"evl16","m",24.7863006591797,0.819999992847443,"ddmko",NA,NA,NA,"ntc3a",39.9945220947266,15.2082195281982,3
"jregz","m",92.7178115844727,3,NA,NA,NA,NA,NA,NA,NA,NA
"h2316","f",27.6739730834961,2,NA,NA,NA,NA,"sg5qo",53.2999992370605,25.6260280609131,8
"ogtd3","m",48.687671661377,NA,NA,NA,NA,NA,NA,NA,NA,NA
"seok7","f",23.6712322235107,1,"sdpgv",57.6931495666504,34.0219192504883,11,"ucik7",53.0438346862793,29.3726024627686,5
"duzvd","m",38.4328765869141,9.64000034332275,NA,NA,NA,NA,NA,NA,NA,NA
"ttpdq","m",65.6438369750977,4,"yv3ox",79.0547943115234,13.4109592437744,5,"vjtmu",83.5726013183594,17.9287662506104,5
"hz84w","m",18.2958908081055,0,"su674",57.6931495666504,39.3972587585449,8,"q9ltf",51.9945220947266,33.6986312866211,8
"amg6x","f",24.7178077697754,0.819999992847443,"d55g6",59.3698616027832,34.6520538330078,6,"uildo",61.7424659729004,37.024658203125,6
"fiyrg","m",31.1808223724365,1.82000005245209,"djtm0",65.6986312866211,34.5178070068359,8,"gapa8",62.6986312866211,31.5178089141846,8
"yori3","f",45.216438293457,6.82000017166138,"h7q8f",82.7123260498047,37.4958915710449,7,"ja82w",75.7068481445312,30.4904117584229,7
"zg4ah","m",25.5013694763184,1.63999998569489,"sdpgv",57.6931495666504,32.191780090332,11,"psbka",53.4137001037598,27.9123287200928,6
"cowk4","f",19.306848526001,0.819999992847443,NA,NA,NA,NA,"svb0c",41.6821899414062,22.3753433227539,2
"u0wdt","m",24.8219184875488,0.819999992847443,NA,NA,NA,NA,"xp23u",51.0356178283691,26.2136993408203,8
