"age","ed","sex","agef","edf","agem","edm","fam_id"
30,10,1,74,0,58,0,"u16sc"
22,10,1,68,8,59,5,"k4q74"
22,8,1,68,6,50,4,"k2vuu"
24,7,2,60,5,51,4,"v1rwo"
26,7,2,58,0,48,0,"rzbyg"
32,10,1,59,5,58,4,"e6zkv"
26,12,2,60,10,50,5,"pxl48"
32,10,1,60,5,51,4,"v1rwo"
35,15,1,73,0,63,0,"hiakr"
19,10,2,42,0,39,5,"nx3d6"
29,5,2,52,6,44,0,"icv57"
27,9,2,75,3,67,0,"hwds7"
23,7,2,73,8,53,3,"qqjjr"
43,12,1,65,0,45,6,"h2j5o"
31,12,2,70,15,53,10,"qnn1q"
44,0,2,69,0,62,2,"h8wdm"
33,10,1,72,0,59,3,"rjyg1"
28,9,1,71,7,50,4,"xepti"
22,4,1,68,0,51,2,"ex7jh"
20,12,2,65,4,58,2,"egh95"
23,6,2,55,0,49,0,"ozlic"
20,12,1,55,9,39,5,"z55nn"
44,0,1,73,4,63,2,"lltyy"
18,9,2,48,6,42,0,"yrrup"
36,1,2,66,0,47,0,"m387c"
27,7,1,68,0,53,0,"eue0o"
25,8,2,67,5,57,5,"i5ntx"
27,10,1,52,0,45,0,"kupk4"
21,10,1,62,10,53,5,"ftmp4"
28,10,1,72,3,59,0,"jlum9"
28,6,2,72,7,59,4,"wpn3w"
25,5,2,58,0,46,0,"fb1td"
37,5,2,67,0,59,2,"ssgpw"
33,5,1,55,6,51,0,"mftd2"
20,12,2,65,5,54,4,"ldzib"
26,7,2,53,0,48,0,"ybugy"
22,12,1,65,6,58,5,"foc0g"
19,5,2,50,0,44,0,"kbphq"
26,12,1,70,0,54,2,"qu8q7"
26,9,1,69,2,52,0,"sxrg1"
22,10,2,58,6,53,3,"vlnao"
43,4,1,70,5,59,0,"x7k80"
35,0,2,69,0,58,0,"pzy3z"
30,6,2,66,0,50,0,"rwh2a"
18,9,1,65,7,50,4,"fo41d"
29,9,1,54,3,50,3,"njqtj"
22,5,2,60,9,46,1,"utxuz"
36,8,2,75,3,67,0,"hwds7"
24,0,1,66,0,50,0,"rwh2a"
30,8,2,67,5,57,5,"i5ntx"
21,5,1,60,5,48,5,"pj1eg"
28,8,1,53,0,48,0,"ybugy"
27,5,1,60,10,52,5,"ptjft"
20,12,2,54,8,48,4,"q1u3u"
34,9,1,67,5,57,5,"i5ntx"
22,5,2,58,0,41,0,"xjhjv"
28,9,1,60,5,53,3,"gm54u"
30,9,1,60,5,52,3,"fb5xd"
35,2,2,66,2,49,0,"vzazt"
20,0,1,52,0,46,0,"n70q9"
23,4,1,53,0,48,0,"ybugy"
30,8,1,63,8,54,5,"e0pbj"
18,0,1,50,0,49,0,"xhbyg"
24,8,1,69,0,52,0,"pizod"
42,6,2,67,5,57,5,"i5ntx"
32,7,1,70,5,55,0,"nukgk"
35,10,1,59,5,58,4,"e6zkv"
37,2,1,65,0,56,0,"opcd8"
45,16,1,80,8,64,0,"rfw2n"
35,0,1,65,0,59,0,"vcfxl"
24,9,2,58,0,49,0,"cf4bt"
25,9,1,60,0,54,0,"hra05"
21,9,2,60,0,51,0,"otf98"
20,0,1,66,0,47,0,"m387c"
22,5,1,50,4,44,0,"uhbwi"
27,10,1,60,16,50,4,"brhhr"
25,10,2,55,9,52,4,"e8lpb"
39,5,2,72,0,62,0,"is86h"
29,5,1,72,0,52,0,"bqr76"
40,0,2,66,0,47,0,"m387c"
35,4,1,65,6,64,0,"i1bqi"
35,15,1,68,3,57,0,"hsfhs"
20,6,1,48,0,42,0,"w830t"
22,9,2,46,9,47,8,"xjg7i"
28,9,2,54,5,48,0,"vgone"
27,3,2,60,0,51,0,"otf98"
38,5,2,70,0,63,0,"vw1re"
18,10,2,67,0,54,0,"hlkwd"
39,2,1,69,0,62,2,"h8wdm"
19,6,1,60,9,51,4,"at56q"
38,8,2,70,0,54,2,"qu8q7"
25,3,1,65,0,56,0,"opcd8"
29,5,1,70,0,63,0,"vw1re"
28,0,2,65,0,50,0,"ij4ij"
28,0,2,55,0,50,0,"aetxe"
35,2,2,70,0,52,0,"gri75"
20,10,2,68,8,59,5,"k4q74"
19,6,1,60,5,50,0,"pswsl"
36,5,1,66,4,60,5,"qg79k"
24,7,2,67,4,48,3,"l2668"
34,12,1,60,0,54,0,"hra05"
40,10,1,65,6,53,3,"n3r0r"
24,8,2,60,0,47,3,"zz3gb"
40,4,1,69,0,62,2,"h8wdm"
35,8,1,74,3,60,0,"t9uw0"
24,10,1,50,0,48,0,"guxsm"
18,9,1,45,7,46,0,"ipdik"
45,2,2,73,0,41,0,"sipd3"
23,9,2,62,0,48,0,"ra1lj"
33,10,1,64,2,57,0,"dfu4j"
25,9,2,50,9,44,4,"utyrm"
22,9,1,54,5,48,0,"vgone"
28,5,2,65,0,51,0,"ndvwv"
33,10,1,74,0,58,0,"u16sc"
21,12,1,60,16,50,4,"brhhr"
27,9,2,60,9,50,5,"wq2on"
29,9,2,65,8,52,4,"t54c3"
38,15,1,69,2,59,5,"td4g8"
21,12,1,65,15,49,9,"a16c0"
44,16,1,80,3,51,0,"xh5q7"
18,2,2,35,0,29,4,"wt6d4"
27,10,2,80,0,60,0,"wm10q"
45,0,1,80,0,60,0,"wm10q"
28,10,1,68,6,50,4,"k2vuu"
20,9,2,50,0,48,0,"guxsm"
43,0,1,75,3,67,0,"hwds7"
20,10,2,67,0,51,0,"uf8im"
33,6,1,72,0,62,0,"is86h"
49,3,1,72,3,59,0,"jlum9"
19,10,2,65,15,49,9,"a16c0"
27,9,2,52,4,45,4,"gtbir"
20,8,2,71,0,51,5,"z9bag"
22,5,2,59,0,51,0,"vi6j0"
23,7,2,56,0,42,2,"tmquq"
24,9,2,50,4,41,0,"bpvmq"
24,12,2,70,0,58,0,"cg20v"
32,9,2,56,0,46,0,"dgyu0"
32,10,1,72,3,59,0,"jlum9"
30,12,1,71,4,60,0,"ejntc"
20,10,1,55,10,48,7,"wvicz"
28,10,2,58,10,48,8,"okta0"
35,8,2,60,0,49,0,"ku6kb"
20,8,1,50,0,42,0,"bceju"
33,4,2,73,0,63,0,"hiakr"
18,12,1,58,10,48,8,"okta0"
34,3,2,60,9,50,5,"wq2on"
20,10,1,48,0,42,0,"nkgxt"
28,12,1,59,5,58,4,"e6zkv"
24,12,1,48,9,42,3,"b631y"
50,5,2,80,3,51,0,"xh5q7"
31,9,1,55,9,52,4,"e8lpb"
36,15,1,72,0,61,0,"fxd51"
31,4,2,75,0,60,0,"wbha5"
40,5,2,70,10,58,5,"cw8uh"
34,5,1,60,0,50,0,"sobak"
31,12,1,58,0,49,0,"cf4bt"
24,7,1,66,5,51,0,"h7ccp"
18,9,1,69,2,59,5,"td4g8"
30,8,1,75,8,55,2,"laslf"
24,3,1,48,0,41,0,"v32pv"
24,8,2,65,6,58,5,"foc0g"
20,10,1,45,8,34,4,"bev98"
43,10,1,69,0,58,0,"pzy3z"
18,9,2,48,5,38,5,"u5f17"
23,3,2,58,4,46,0,"nwbir"
32,9,1,72,12,60,5,"vwufk"
30,6,1,53,0,49,0,"wgapu"
20,2,2,54,0,39,0,"q7epx"
27,5,1,70,0,58,0,"cg20v"
25,0,2,68,0,53,0,"eue0o"
38,7,2,65,7,66,2,"tuj4r"
20,8,2,70,0,62,0,"wy6hl"
30,5,2,75,3,67,0,"hwds7"
20,9,1,40,5,38,3,"jt08s"
40,0,1,60,5,54,0,"h5qgs"
35,2,1,72,0,63,0,"db3n7"
27,10,2,80,8,64,0,"rfw2n"
27,8,2,70,0,50,0,"b4qwz"
30,0,1,68,0,53,0,"eue0o"
22,8,1,56,0,46,0,"dgyu0"
29,9,1,59,10,51,4,"pom90"
20,10,2,62,0,56,0,"qjcf2"
29,12,1,67,10,55,5,"s0hta"
22,12,2,55,10,48,7,"wvicz"
26,8,2,55,3,50,0,"di8ok"
32,4,1,75,0,63,0,"sjffo"
20,8,2,65,4,52,0,"xvlln"
42,16,1,72,0,61,0,"fxd51"
27,6,2,62,2,50,1,"rqfs2"
18,6,2,48,8,41,4,"aegdu"
27,9,2,66,4,60,5,"qg79k"
25,9,1,60,9,46,5,"fufo0"
33,8,1,72,5,53,0,"toybu"
41,5,2,64,2,57,0,"dfu4j"
29,15,1,68,3,57,0,"hsfhs"
29,7,2,67,0,47,4,"edmeb"
39,8,1,75,0,61,0,"a3m1d"
40,4,2,72,3,59,0,"jlum9"
37,6,1,70,5,64,0,"fcw6f"
20,9,1,60,6,39,6,"bo69p"
35,4,1,70,0,60,0,"ckg9d"
20,12,2,55,0,49,0,"ozlic"
27,12,1,56,9,49,5,"shmd3"
19,5,1,65,0,45,0,"u7kin"
26,10,1,50,9,40,10,"ujexk"
25,7,1,60,5,54,0,"h5qgs"
28,7,2,45,7,46,0,"ipdik"
36,10,1,80,3,51,0,"xh5q7"
40,5,1,75,0,50,0,"wjc4i"
22,12,1,52,12,39,10,"xvx8r"
23,7,2,57,0,42,0,"ra7ol"
35,3,2,55,0,49,0,"ty6xk"
21,8,2,66,0,50,0,"rwh2a"
24,6,1,68,0,51,2,"ex7jh"
29,5,1,52,5,47,2,"u52c8"
29,9,1,65,0,52,0,"uuy7d"
62,10,1,62,10,53,5,"ftmp4"
25,9,1,54,0,43,4,"kl1lz"
23,9,2,60,0,51,0,"o99sa"
23,12,2,52,5,47,0,"e4esb"
26,7,1,67,2,50,0,"rg8nq"
34,5,2,70,5,64,0,"fcw6f"
21,8,2,48,8,41,4,"aegdu"
23,9,1,70,5,55,0,"nukgk"
20,8,2,58,6,53,3,"vlnao"
29,10,1,60,0,49,0,"atah0"
32,9,2,75,8,55,2,"laslf"
35,2,1,60,5,54,0,"h5qgs"
20,10,1,70,0,54,2,"qu8q7"
18,8,2,50,0,43,0,"hhncl"
30,9,2,72,5,53,0,"toybu"
24,8,2,52,4,45,4,"gtbir"
28,9,1,70,0,54,0,"sm8mw"
18,9,1,46,5,37,3,"gxxho"
22,12,1,60,12,46,7,"r9s46"
35,10,1,63,4,54,0,"l42ru"
30,2,1,72,0,60,1,"u0pae"
20,7,1,70,5,54,0,"o5i5n"
30,9,2,60,9,46,1,"utxuz"
31,9,1,60,0,50,0,"sobak"
27,10,1,72,0,61,0,"fxd51"
30,5,2,70,4,59,4,"b5r0i"
19,12,1,45,10,42,8,"s4gc5"
28,9,2,60,0,49,0,"ku6kb"
40,5,1,75,8,61,5,"hz7ma"
24,7,2,71,0,51,5,"z9bag"
25,10,1,54,5,48,0,"vgone"
28,9,1,62,0,48,0,"ra1lj"
28,16,2,70,10,58,5,"cw8uh"
28,16,1,60,10,50,5,"pxl48"
19,7,2,71,7,50,4,"xepti"
25,6,2,60,5,52,3,"fb5xd"
30,5,2,72,7,59,4,"wpn3w"
41,0,1,70,5,59,0,"x7k80"
18,7,2,50,0,42,0,"w8lx0"
20,7,2,60,0,47,0,"qrwk6"
21,9,2,52,4,45,4,"gtbir"
29,8,2,60,5,51,4,"v1rwo"
36,0,1,65,0,57,0,"shpec"
26,8,2,65,0,52,0,"uuy7d"
40,5,2,66,4,60,5,"qg79k"
19,9,2,44,8,39,0,"ktosx"
28,12,1,60,0,51,0,"o99sa"
32,7,1,58,6,53,3,"vlnao"
28,3,1,60,0,52,0,"gfqpa"
29,5,1,69,2,59,5,"td4g8"
28,6,2,65,4,52,0,"xvlln"
