"id","male","age","rs","idf","agef","rsf","code","idm","agem","rsm"
"l0iq8",1,33,1,NA,NA,NA,"ms","z52e2",65,8
"mw6vz",0,31,2,NA,NA,NA,"md","lsy9d",55,5
"o67vw",1,52,3,NA,NA,NA,"ms","zk0kc",68,6
"t47k7",1,25,0,NA,NA,NA,"ms","vw1tf",52,3
"l8jfc",1,42,2,"qd4a8",76,4,"fs",NA,NA,NA
"k5es8",0,31,2,NA,NA,NA,"md","xbssv",51,4
"m84k1",1,36,2,"scqjf",65,2,"fs",NA,NA,NA
"nng03",0,18,0,"n1758",47,2,"fd",NA,NA,NA
"s3l75",0,26,1,"i4e4o",49,3,"fd",NA,NA,NA
"tydub",0,36,1,"kuc5t",59,6,"fd",NA,NA,NA
"l4sb8",1,30,2,NA,NA,NA,"ms","ibjf4",60,2
"ndzb9",1,43,1,"gu34s",75,7,"fs",NA,NA,NA
"eq6e2",1,32,0,"lqjbw",55,6,"fs",NA,NA,NA
"cg3xs",1,33,2,NA,NA,NA,"ms","iw9hx",63,5
"e3xwc",1,28,0,"qoe76",55,1,"fs",NA,NA,NA
"pv4n9",1,55,3,NA,NA,NA,"ms","v5x3d",82,5
"p6dgu",0,41,2,"d5roy",70,6,"fd",NA,NA,NA
"evell",1,32,1,NA,NA,NA,"ms","fscx0",59,4
"x6wg4",1,24,0,NA,NA,NA,"ms","r8exq",49,3
"lyt1t",1,28,0,NA,NA,NA,"ms","zxt98",52,6
"snoyz",0,35,2,NA,NA,NA,"md","edbtv",77,8
"d12kd",1,31,0,NA,NA,NA,"ms","y59aq",75,8
"a7zq0",0,43,2,NA,NA,NA,"md","b54ff",68,5
"v1j3e",0,31,1,NA,NA,NA,"md","t391l",62,3
"capkj",0,23,1,"iox70",49,3,"fd",NA,NA,NA
"twidb",1,21,0,"npcss",49,2,"fs",NA,NA,NA
"b604a",0,39,2,NA,NA,NA,"md","j0sj4",66,7
"r6x69",0,32,3,NA,NA,NA,"md","prf7w",66,6
"ojj69",0,23,0,NA,NA,NA,"md","vtzpi",40,2
"js6kp",0,43,2,NA,NA,NA,"md","xet7k",69,6
"stq41",0,19,0,"xb75a",48,2,"fd",NA,NA,NA
"bxg7k",0,43,2,NA,NA,NA,"md","n1mks",72,7
"lt2gy",0,37,2,"vdls1",66,4,"fd",NA,NA,NA
"j4rcf",0,36,1,NA,NA,NA,"md","r40p7",63,7
"zpije",0,38,0,NA,NA,NA,"md","y8mxf",65,4
"q6c3e",0,18,0,"iox70",49,3,"fd",NA,NA,NA
"cd04o",0,30,0,NA,NA,NA,"md","dbzhs",68,6
"lpzu0",1,51,2,NA,NA,NA,"ms","uz2sy",75,2
"tvynv",0,19,0,NA,NA,NA,"md","sa7l5",42,3
"ko7fh",1,44,3,"gn1ck",76,6,"fs",NA,NA,NA
"bgjuh",1,28,1,NA,NA,NA,"ms","t6hx7",51,3
"zud0y",0,43,2,NA,NA,NA,"md","w2mff",75,6
"nju1r",1,35,1,NA,NA,NA,"ms","v5x3d",82,5
"z4nek",0,18,0,NA,NA,NA,"md","y6cej",42,2
"crwu9",1,31,1,NA,NA,NA,"ms","z8365",59,6
"c2wei",1,39,3,NA,NA,NA,"ms","fwf87",61,4
"hayjt",0,28,0,NA,NA,NA,"md","hzzzo",52,2
"qdxof",1,20,1,NA,NA,NA,"ms","s0eeb",47,3
"e31dh",0,18,1,NA,NA,NA,"md","n05lo",37,2
"ph7wa",1,21,0,NA,NA,NA,"ms","nz79w",53,2
"pewc4",1,39,2,NA,NA,NA,"ms","l0zjx",70,5
"cgkn0",1,21,0,"eqkwy",54,3,"fs",NA,NA,NA
"z8365",0,59,6,NA,NA,NA,"md","kinlx",83,3
"b0tyk",1,32,1,"azmm3",63,4,"fs",NA,NA,NA
"wcqrk",0,17,0,"jie2m",35,2,"fd",NA,NA,NA
"l4342",0,27,1,NA,NA,NA,"md","dhogj",49,3
"egrw7",0,19,0,NA,NA,NA,"md","rd9tt",42,3
"udulv",0,23,0,"ekgy1",49,3,"fd",NA,NA,NA
"ttki5",0,22,0,"mruwu",56,4,"fd",NA,NA,NA
"syhrw",0,30,2,"wush8",65,4,"fd",NA,NA,NA
"hg68d",0,17,0,NA,NA,NA,"md","p80fs",37,2
"c85cl",0,33,2,NA,NA,NA,"md","jtzhh",54,4
"mjgfg",0,24,0,"d6wl9",51,3,"fd",NA,NA,NA
"lga4o",0,30,2,"l6fkg",53,3,"fd",NA,NA,NA
"jlfyt",0,20,0,NA,NA,NA,"md","f1nmv",44,2
"i7yow",0,36,1,NA,NA,NA,"md","yqmqf",58,4
"mffvc",0,25,0,"py7wk",52,3,"fd",NA,NA,NA
"d47i1",1,25,0,NA,NA,NA,"ms","g2umi",42,2
"lpwdl",1,22,0,NA,NA,NA,"ms","nc790",43,3
"enott",0,35,2,NA,NA,NA,"md","dknj7",70,5
"gzeic",0,56,2,NA,NA,NA,"md","edbtv",77,8
"t47k7",1,25,0,"eqkwy",54,3,"fs",NA,NA,NA
"ew7yz",0,32,1,NA,NA,NA,"md","g8yno",51,3
"jlfyt",0,20,0,"t4y3x",45,2,"fd",NA,NA,NA
"gwsey",0,46,2,NA,NA,NA,"md","qvlxh",71,4
"klfme",1,45,2,NA,NA,NA,"ms","qdwnu",66,5
"pa9jo",0,28,1,NA,NA,NA,"md","ixsl2",52,2
"svowe",1,26,0,NA,NA,NA,"ms","yloia",43,3
"qz4ah",0,39,2,NA,NA,NA,"md","jgm50",74,5
"ie6od",0,40,2,NA,NA,NA,"md","t391l",62,3
"mrfce",1,27,0,"dqks7",67,3,"fs",NA,NA,NA
"sv8lt",0,27,0,NA,NA,NA,"md","fwf87",61,4
"im0zw",0,42,2,NA,NA,NA,"md","edbtv",77,8
