"age","male","livestock","agef","livestockf"
66,0,4,NA,NA
23,1,NA,87,60
86,0,1,NA,NA
39,1,3,71,35
39,0,NA,84,70
47,1,10,NA,NA
36,0,NA,85,55
35,0,NA,85,110
53,1,15,NA,NA
32,0,6,72,25
36,1,5,90,12
59,1,35,NA,NA
44,1,12,NA,NA
41,0,4,73,35
55,1,30,85,110
51,1,2,78,45
34,0,25,NA,NA
52,1,17,80,60
40,0,6,93,70
43,1,3,90,12
23,0,NA,78,45
54,0,10,76,45
38,1,8,NA,NA
57,0,6,83,20
55,1,11,NA,NA
23,0,NA,79,30
35,1,10,71,35
34,0,10,75,100
47,1,4,79,30
35,1,30,75,100
60,1,55,NA,NA
47,0,12,73,10
55,1,10,83,20
50,1,15,85,55
53,1,14,85,55
44,1,7,77,35
47,1,4,85,55
75,1,100,NA,NA
29,0,NA,84,70
32,1,1,73,35
32,1,11,80,60
36,0,10,73,35
53,0,20,80,60
37,0,10,85,55
47,1,25,85,110
52,1,20,84,150
26,0,NA,77,35
53,0,NA,83,20
45,1,11,90,110
33,1,15,75,100
87,1,60,NA,NA
45,0,16,68,125
58,0,14,85,110
35,0,NA,79,30
31,1,25,73,95
35,0,9,NA,NA
44,1,16,71,35
79,0,14,NA,NA
43,1,9,80,60
63,1,15,90,110
41,1,4,71,35
39,1,30,85,110
47,1,2,90,110
36,0,20,84,150
31,1,17,72,25
58,1,12,84,150
32,1,14,68,125
37,0,10,92,75
53,0,12,90,110
38,1,15,75,100
17,0,NA,90,12
48,1,5,73,35
68,0,6,NA,NA
37,0,NA,79,30
48,1,1,79,20
34,1,4,90,110
32,0,8,84,70
33,0,8,84,70
42,1,9,76,45
51,1,25,NA,NA
36,0,8,74,30
42,0,NA,73,35
63,1,35,NA,NA
45,1,6,77,35
28,0,NA,85,110
45,1,7,NA,NA
46,1,30,75,100
42,1,4,71,35
34,1,8,NA,NA
43,0,12,71,35
34,1,9,90,110
56,1,17,93,70
40,1,6,77,35
41,1,7,79,30
51,0,16,76,45
79,1,30,NA,NA
40,1,3,NA,NA
20,0,NA,68,125
48,1,45,NA,NA
43,0,11,NA,NA
28,0,NA,79,30
31,1,17,84,150
38,1,6,73,35
28,0,NA,79,30
55,1,12,90,110
37,0,6,73,10
42,1,20,85,110
67,1,20,93,70
42,1,4,NA,NA
42,1,7,84,150
35,0,NA,76,45
17,1,NA,80,60
51,0,10,87,60
