"id","male","age","wealth","mid","agetodaym","ageatdeathm","fid","agetodayf","ageatdeathf","wealthp"
"v3idb",1,71.7699966430664,6,NA,NA,NA,NA,NA,NA,NA
"kvo3n",1,60.7299995422363,5,NA,NA,NA,NA,NA,NA,NA
"vmjrr",0,34.1800003051758,2,NA,NA,NA,NA,NA,NA,NA
"n21ve",1,49.4199981689453,4,NA,NA,NA,NA,NA,NA,NA
"q47pd",0,59.1699981689453,4,NA,NA,NA,NA,NA,NA,NA
"qde6h",0,75.2900009155273,2,NA,NA,NA,NA,NA,NA,NA
"mbj8s",1,33.310001373291,2,NA,NA,NA,NA,NA,NA,NA
"fels5",0,68.4100036621094,4,NA,NA,NA,NA,NA,NA,NA
"z50wl",0,71.3000030517578,5,NA,NA,NA,NA,NA,NA,NA
"q08r8",1,33.1599998474121,2,"xqoz6",61.3899993896484,NA,"rauoc",67.7699966430664,NA,1
"lc4jj",0,24.2900009155273,4,"h7jdc",52.4199981689453,NA,"k9fdf",NA,NA,5
"i23wg",1,41.9000015258789,3,NA,NA,NA,NA,NA,NA,NA
"cb971",0,50.5699996948242,5,"chi5v",81.620002746582,NA,"rhsxz",75.0699996948242,71,8
"z02in",0,48.3699989318848,8,NA,NA,NA,NA,NA,NA,NA
"t5wbr",1,61.0400009155273,8,NA,NA,NA,NA,NA,NA,NA
"lbkrw",1,53.0699996948242,4,NA,NA,NA,NA,NA,NA,NA
"m4w6p",1,68.1800003051758,6,NA,NA,NA,NA,NA,NA,NA
"gfn1u",0,51.1100006103516,8,NA,NA,NA,NA,NA,NA,NA
"b1tvp",0,54.8800010681152,6,NA,NA,NA,NA,NA,NA,NA
"ccuyv",1,62.5800018310547,5,NA,NA,NA,NA,NA,NA,NA
"n4btj",0,46.7000007629395,3,NA,NA,NA,NA,NA,NA,NA
"ijl1o",0,57.5,5,NA,NA,NA,NA,NA,NA,NA
"bdjlr",0,31.4599990844727,1,NA,NA,NA,NA,NA,NA,NA
"wt09f",1,27.5400009155273,1,"jd7vy",65.4899978637695,NA,"kjw5s",66.0100021362305,NA,6
"mrzjd",0,30.7099990844727,1,"tzg2a",65.4199981689453,NA,"twbzp",59.4599990844727,NA,7
"vha8v",0,38.560001373291,8,"vdh49",64.3300018310547,NA,"tgppz",72.1699981689453,39.1699981689453,2
"pznll",1,36.7400016784668,4,"chi5v",81.620002746582,NA,"rhsxz",75.0699996948242,71,8
"d1g6j",0,61.1199989318848,3,NA,NA,NA,NA,NA,NA,NA
"y0jbl",0,41.6500015258789,5,"bscec",65.6800003051758,NA,"laess",66.6500015258789,NA,7
"vgz0g",1,71.379997253418,6,NA,NA,NA,NA,NA,NA,NA
"cr8ap",0,43.5400009155273,4,NA,NA,NA,NA,NA,NA,NA
"eughf",0,40.75,8,NA,NA,NA,NA,NA,NA,NA
"pugw7",0,35.689998626709,5,"gw8ie",66.120002746582,NA,"jjbt7",66.6399993896484,NA,5
"bdy3h",1,77.5800018310547,4,NA,NA,NA,NA,NA,NA,NA
"csd5p",1,75.2799987792969,5,NA,NA,NA,NA,NA,NA,NA
"lpll9",1,72.5800018310547,3,NA,NA,NA,NA,NA,NA,NA
"ejzap",0,47.810001373291,5,NA,NA,NA,NA,NA,NA,NA
"l3wsn",1,62.0099983215332,2,NA,NA,NA,NA,NA,NA,NA
"hpjxb",0,70.7399978637695,1,NA,NA,NA,NA,NA,NA,NA
"tzg2a",0,65.4199981689453,7,NA,NA,NA,NA,NA,NA,NA
"hwz1t",0,34.9099998474121,3,"z5ewt",61.1300010681152,NA,"svfr8",66.2099990844727,NA,4
"a4vtj",0,40.2099990844727,5,"qn9jz",70.1100006103516,NA,"vncxv",66.4000015258789,42.2000007629395,3
"nn2ry",0,63.5099983215332,6,NA,NA,NA,NA,NA,NA,NA
"rsmtd",1,53.1300010681152,8,NA,NA,NA,NA,NA,NA,NA
"jznap",1,41.1800003051758,4,"z9nbx",65.0100021362305,NA,"rcztp",65.0999984741211,NA,4
"mba1o",1,73.5500030517578,7,NA,NA,NA,NA,NA,NA,NA
"wkbss",1,60.939998626709,3,NA,NA,NA,NA,NA,NA,NA
"k2ylb",0,66.1600036621094,3,NA,NA,NA,NA,NA,NA,NA
"bj3qq",0,33.5400009155273,4,NA,NA,NA,NA,NA,NA,NA
"x2b2i",0,67.879997253418,6,NA,NA,NA,NA,NA,NA,NA
