"id","idf","idm","ed","edf","edm","age","agef","agem","sex"
"a95wr","rvbmx","kt8n6",3,9999,9999,83.58110883,9999,9999,"M"
"ihnid","a95wr","shm6o",8,3,3,55.77002053,84,79,"M"
"fzn1e","ivimo","yvvfs",9999,10,10,9999,53,46,"F"
"z0aax","thoem","abrg0",9999,9999,9999,9999,9999,9999,"F"
"zaqfr","bb4om","yd602",12,10,10,19.68240931,45,43,"F"
"it2z0","b7jow","cfpfi",9999,9999,9999,9999,9999,9999,"M"
"d3sep","a2mvk","aatg4",11,9999,3,29.45927447,9999,62,"F"
"styw6","pe4er","hh2mz",9999,9,11,9999,26,28,"M"
"orrc9","uugpo","tjfa4",5,10,9999,15.68240931,40,41,"M"
"lip7q","ti150","yi7z6",11,9999,9999,22.09445585,30,29,"M"
"ppxhr","oukiz","t141m",8,9999,3,36.42162902,9999,69,"F"
"st0fm","ho2rr","zjel8",9999,9999,9999,35,9999,9999,"M"
"gvs7y","jospm","sjveu",12,9999,10,22.40109514,9999,56,"F"
"zjmnx","xq174","i97eg",9,10,10,20.81861739,48,42,"M"
"k2i03",NA,"fx0m4",11,9999,10,22.55715264,9999,47,"F"
"brp4y","yqows","h9qg1",9999,9999,9999,9999,9999,54,"F"
"wt5d8",NA,"jp0uc",10,9999,3,22.17111567,9999,52,"M"
"sr3f5","tro7x","jgc3c",10,10,10,16.49281314,49,40,"F"
"zsm0n","kdhq8","jgy04",9999,9999,9999,9999,9999,56,"F"
"d3s4t","xq4s3","c085w",11,3,9999,27,66,51,"M"
"kdhq8","xaow3","ppsu3",9999,9999,9999,9999,9999,9999,"M"
"mln9o",NA,"i1jsf",10,9999,3,43.57289528,9999,65,"M"
"a1tvp","zmu07","blqu5",4,9999,10,22.46954141,9999,50,"M"
"ffge5","srgb0","va60j",11,10,10,18.35455168,53,47,"M"
"gn9wd","k0eft","bkrh4",9999,10,11,9999,20,19,"M"
"t50rk","qrixf","tq827",9999,10,10,9999,50,37,"F"
"kd5xc","a8teo","injdj",10,9999,9999,40.01916496,9999,57,"M"
"kz9ow","go9n9","a615m",9999,10,8,9999,46,38,"M"
"e37im","hwdji","ogktu",11,10,10,24.34223135,52,45,"F"
"q076e","k55g1","e05bt",9,9999,10,21.0349076,9999,52,"M"
"c7stz","o47p4","zr2c2",9999,9999,9999,9999,9999,9999,"M"
"pe4er","jsnf1","wyzvw",9,9999,10,25.92197125,9999,49,"M"
"wdu5f","x3vq8","sslxh",9999,9999,9999,75,9999,9999,"F"
"yhqqc","lez6g","fyh5q",9,10,10,20.59958932,50,52,"M"
"yhgve","hf5cu","npo2h",10,10,9999,35.58932238,59,9999,"M"
"yuxhf","jt4ec","prrk9",10,9999,3,40,73,74,"M"
"pik3m",NA,"ss9se",11,9999,9999,22.32717317,9999,28,"M"
"q8j54","ybngd","bl8i0",11,9999,9999,24.49555099,52,9999,"M"
"fpymy",NA,"f614l",9,9999,8,17.31143053,9999,35,"F"
"n3x15",NA,"shgw0",9999,9999,11,9999,9999,52,"F"
"pvjne","t9yk0","v7szi",9999,9999,9999,9999,9999,9999,"M"
"ss12h","pe4er","hh2mz",9999,9,11,9999,26,28,"M"
"nqtxz","qrixf","fv9lx",11,10,9999,20.70910335,50,9999,"M"
"ho2rr","x5b6a","j5vu5",9999,9999,9999,9999,9999,9999,"M"
"u2pgs","p259o","rw9lt",11,9999,10,24.89253936,9999,50,"M"
"xwvr9","e1ehz","jf73v",11,9999,9,19,36,44,"F"
"klr2v","qt1pb","opy3k",9999,9999,9999,9999,9999,9999,"M"
"uukwy","yqows","h9qg1",9999,9999,9999,32.67077344,9999,54,"F"
"umwto","l1roj","b6cbk",11,3,3,41.43737166,69,67,"F"
"aefyh","fw3we","owa5a",9999,9999,9999,9999,9999,78,"M"
"igsjz",NA,"shgw0",11,9999,11,27.24709103,9999,52,"F"
"amivp",NA,"f614l",9,9999,8,15.88501027,9999,35,"F"
"hxyq8","o47p4","zr2c2",9999,9999,9999,9999,9999,9999,"F"
"scism","cwv2x","g906x",10,9999,8,16.3613963,61,39,"F"
"rvth9",NA,"yvvfs",6,9999,10,17.65366188,9999,46,"M"
"a6mc8","qrixf","fv9lx",11,10,9999,23.07734428,50,9999,"F"
"ntphh","gg8h0",NA,10,9999,9999,51.12388775,9999,9999,"F"
"y0vkl","opg10","jpcf2",11,9999,9999,45.28678987,9999,9999,"M"
"fire3","l1nom",NA,9999,8,9999,16,55,9999,"M"
"c43kk","cddyt","s2eww",11,9999,10,33.23203285,9999,58,"M"
"mas88",NA,"bkpdn",11,9999,9999,42.30253251,9999,9999,"F"
"jwwt0","kd3wy","kjd2t",9999,10,11,39.02806297,73,68,"F"
"udu4s","dqksh","xclwz",9999,9999,9999,9999,9999,9999,"F"
"ti150","vt4wt",NA,9999,9999,9999,30,57,9999,"M"
"r6h0r","tro7x","jgc3c",9,10,10,15.70978782,49,40,"M"
"wyzvw","ov5s1","gf1b9",10,9999,3,49.07049966,64,76,"F"
"ke92f","t25j3","g1kpk",11,9999,10,20.00273785,45,39,"F"
"n0l9b","nmo3k","cfqj0",9999,9999,9999,9999,9999,9999,"F"
"vgrmd","igsc5","sffhs",9999,9999,9999,9999,9999,9999,"M"
"lhast","gsmna","q16j2",11,10,10,31.74537988,54,52,"F"
"bkpdn","p0fqr","rlsnz",9999,9999,9999,9999,9999,9999,"F"
"supi3","vqm2w","z0dcl",9999,9999,9999,9999,9999,9999,"M"
"iw2sl","lot37","h1ish",9999,9999,9999,9999,66,9999,"F"
"q2gjt","uugpo","tjfa4",9999,10,9999,17.00752909,40,41,"F"
"x4w6l","kj9iz","z0aax",10,3,9999,50.35455168,72,9999,"M"
"aj20q","tjaee","se6r3",3,9999,9999,67.35112936,9999,9999,"F"
"aatg4","vlua3","cpo8q",3,9999,9999,61.99863107,9999,9999,"F"
"ca9zy","jva7n","rl7i3",3,9999,9999,70,9999,9999,"M"
"lgapg","y43x0","jgy04",9999,10,9999,9999,56,56,"F"
"a2mvk","msvqx","ljwsl",9999,9999,9999,9999,9999,9999,"M"
"vy6gm","ov5s1","gf1b9",9999,9999,3,34,64,76,"M"
"o56dc",NA,"dy80e",10,9999,9999,17.71937029,9999,9999,"M"
"z5hpw","l1roj","b6cbk",10,3,3,39.6440794,69,67,"M"
"pdh48","hx5zf","o70nl",11,11,11,20.10403833,50,44,"F"
"kdlxg","dzhlg","rn6uk",9999,9999,9999,70,9999,9999,"F"
"w6yuo","t3qpe","a615m",9,3,8,15.63039014,42,38,"F"
"lvcwe","k9gm5","v6tpx",9999,9999,9999,9999,9999,9999,"M"
"m4kn7","awrn3","u6zp1",10,9999,9999,41,70,9999,"M"
"kt8n6","f1fif","pb204",9999,9999,9999,9999,9999,9999,"F"
"b6cbk","vgrmd","lnpn5",3,9999,9999,66.85010267,9999,9999,"F"
"vsatv","njgyh","mas88",11,10,11,18,45,42,"M"
"owa5a","k9gm5","v6tpx",9999,9999,9999,78,9999,9999,"F"
"cijo2",NA,"c25t2",11,9999,10,23.76180698,9999,50,"F"
"w0ux1","lcagy","bm2ah",8,9999,3,41.81793292,9999,69,"F"
"yi7z6","ca9zy","hnjxs",9999,3,9999,29,70,50,"F"
"bkrh4","h1up3","mzdnm",11,10,11,18.82272416,48,42,"F"
"jbbad","glc0r","hjc67",9999,9999,9999,9999,9999,9999,"F"
"dgkbt","kdhq8","jgy04",11,9999,9999,33.59890486,9999,56,"F"
"y1g0m","ex138","fj4ex",9,10,9999,18.11362081,48,9999,"F"
"gg6eg","jospm","sjveu",11,9999,10,30.82272416,9999,56,"F"
"hael9","xq4s3","c085w",11,3,9999,28.24640657,66,51,"F"
"b60jb",NA,"ewdko",9,9999,11,20,9999,53,"M"
"lhxps",NA,"s432f",10,9999,11,36.79945243,9999,9999,"F"
"uyquc","nmo3k","cfqj0",9999,9999,9999,9999,9999,9999,"F"
"cpj0p","l1nom",NA,9,8,9999,26.60643395,55,9999,"M"
"uk7ot","pvjne","fmjng",9999,9999,9999,9999,9999,9999,"M"
"yrrk3","it2z0","cb1de",8,9999,9999,62.04791239,9999,9999,"M"
"mp6zg","kcfl0","rcsra",9999,9999,9999,9999,9999,9999,"M"
"sqfua","a95wr","shm6o",9999,3,3,35,84,79,"F"
"xy51j","hn7j0","ntphh",9999,10,10,16,51,51,"F"
"eh59d","yrrk3","szaip",11,8,10,29.86173854,62,58,"M"
