"id","sex","age","height","fid","mid"
"r1aqj",2,"85.0",145.3,"jplxx","cnft5"
"k5kbh",2,"62.6",139,"a54s6","erfcv"
"w2cog",2,"24.2",139.7,"yy34z","ft9k0"
"vz2e6",2,"47.8",138.9,"vl4e9","lfu36"
"oubea",1,"19.1",158.8,"pq38j","i09b8"
"hsem5",2,"25.0",NA,"ne8oj","o4evo"
"yerfh",2,"37.2",141.1,"sra8x","zlpcl"
"higde",1,"74.7",148.2,"elhem","xaqpw"
"pkab9",1,"51.0",158.2,"hoipd","nbdvk"
"xmbg7",2,"19.7",139,"j0zlt","dh63n"
"enh93",1,"46.4",NA,"mr308","swp4m"
"af1p3",2,"24.3",139.4,"i2sal","cpd6j"
"w5cqr",1,"30.0",160.6,"nynn6","ndejr"
"obiqs",2,"21.1",144.4,"y2cdx","qfq4s"
"cgvlw",2,"33.5",154.2,"txqrc","q9iym"
"cqpoq",2,"23.7",138.1,"mze3k","i5z44"
"rbr1y",2,"25.9",149.6,"txqrc","q9iym"
"sxyzx",2,"36.6",148.2,"ne8oj","o4evo"
"tzy5r",2,"55.0",140.4,"vl4e9","ce3c2"
"khsu3",2,"68.6",139.9,"uil3p","qf7bq"
"ib7kx",2,"45.0",144.1,"mr308","swp4m"
"cugoo",2,"43.7",151.1,"pop14","syxwf"
"js4ur",1,"49.4",152.4,"pp3ug","yw9e6"
"fp6ma",2,"46.6",136.9,"xyvxn","mggc6"
"idxte",1,"22.1",NA,"lptct","cugoo"
"tcdk6",2,"23.2",143.4,"ucz6q","fd3fw"
"o4evo",2,"59.4",135.8,"wq6qn","juvx8"
"mxju6",1,"26.1",153.9,"m1ht1","ib7kx"
"t33d3",2,"31.7",NA,"ucz6q","fd3fw"
"uw9vs",2,"42.9",145.7,"j3jnw","f0mm5"
"b9exu",2,"35.8",149.4,"txqrc","q9iym"
"hn4te",2,"39.3",142.1,"yv8lp","khsu3"
"nlby0",2,"42.2",136.6,"mze3k","i5z44"
"hekj4",1,"22.3",155.4,"vc6w8","bwefm"
"pq38j",1,"50.7",155.2,"a54s6","erfcv"
"hc8xl",1,"24.4",NA,"aqfaq","v3dwk"
"f2tid",1,"24.3",160.4,"sn0wf","ki8sj"
"aqfaq",1,"51.3",159,"mr308","swp4m"
"erfcv",2,"63.0",146.5,"akuiv","m3frx"
"ojjxh",2,"27.7",NA,"y2cdx","qfq4s"
"ijfrb",1,"50.3",148,"qd02a","ys4ei"
"wgqjv",2,"24.4",139.5,"b743r","fp6ma"
"q530l",2,"57.1",145,"ybabm","e51cc"
"r830m",1,"22.1",155.9,NA,NA
"ms2tt",2,"48.7",139.9,"yv8lp","khsu3"
"fekh6",1,"29.8",NA,"pkab9","y9rss"
"f3s39",1,"20.9",NA,"ko5h7","la3pd"
"egveq",1,"20.9",154.8,"m1ht1","ib7kx"
"lptct",1,"46.5",157.9,"mr308","swp4m"
"kbsr4",2,"51.5",144.3,"s0bh0","tndl6"
"x08nd",1,"27.3",NA,"nynn6","ndejr"
"s6sik",2,"37.4",NA,"qd02a","ys4ei"
"ddc2q",2,"18.1",150.4,"k9auq","uuelm"
"fkifk",1,"46.7",157.8,"a54s6","erfcv"
"qx3ds",1,"23.2",NA,"y2cdx","qfq4s"
"y89br",2,"22.3",NA,"b743r","fp6ma"
"l7i5w",1,"35.5",159.6,"ov7il","thfh2"
"qfy91",2,"56.4",132.3,"s0bh0","tndl6"
"dh63n",2,"42.7",146.6,"mr308","swp4m"
"orl4j",1,"18.4",156.4,"sts1q","q530l"
"s9cn2",1,"26.3",NA,"yusg6","vz2e6"
"e8m2d",1,"31.1",NA,"mze3k","i5z44"
"xhg6j",1,"86.7",150.4,"pvuie","e43im"
"s8mhe",1,"24.3",NA,NA,NA
