"RP_INC_LOG","HP_INC_LOG","CF_INC_LOG","RF_AGE","RF_AGE_DEATH","RF_YRS_SINCE_DEATH","RM_AGE","RM_AGE_DEATH","RM_YRS_SINCE_DEATH","HF_AGE","HF_AGE_DEATH","HF_YRS_SINCE_DEATH","HM_AGE","HM_AGE_DEATH","HM_YRS_SINCE_DEATH","HUS_AGE","RESP_AGE"
9.61580548008435,10.0858091093301,9.7981270368783,NA,70,8,70,NA,NA,NA,65,24,75,NA,NA,52,41
9.21034037197618,9.21034037197618,10.4912742174382,80,NA,NA,70,NA,NA,NA,70,8,65,NA,NA,32,21
11.4075649493124,11.0348896640272,11.0508900053737,NA,80,15,NA,70,10,NA,80,25,NA,81,15,67,59
NA,NA,12.6115377536383,50,NA,NA,38,NA,NA,68,NA,NA,50,NA,NA,32,29
9.21034037197618,9.61580548008435,10.8967393255464,NA,80,8,70,NA,NA,NA,70,25,NA,65,15,NA,49
10.3089526606443,11.0666383623418,11.1844213979982,65,NA,NA,45,NA,NA,67,NA,NA,62,NA,NA,34,24
11.47210347045,8.51719319141624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
8.98719682066197,NA,11.6952470217642,90,NA,NA,80,NA,NA,NA,NA,40,70,NA,NA,58,49
NA,9.21034037197618,10.3089526606443,NA,NA,20,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,60
11.0020998412042,10.77895628989,11.0020998412042,NA,NA,40,NA,NA,35,NA,NA,50,NA,NA,52,NA,65
11.6082356447746,11.6952470217642,11.0020998412042,75,NA,NA,65,NA,NA,NA,82,4,70,NA,NA,40,22
10.1266311038503,NA,10.4912742174382,NA,60,30,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
10.3089526606443,9.90348755253613,9.61580548008435,NA,70,15,80,NA,NA,NA,NA,15,NA,NA,35,NA,34
9.39266192877014,10.6919449129004,12.7541940540399,NA,78,10,NA,50,36,NA,NA,NA,NA,49,20,61,49
11.2515607008358,10.1266311038503,11.1562505210315,85,NA,NA,65,NA,NA,NA,65,30,NA,40,47,52,47
9.42545175159313,9.90348755253613,10.4912742174382,NA,70,10,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
