"id","sex","age","weight","fid","mid"
"w3v1r",1,"22.0",47,"lx76q","z8ows"
"frol7",1,"26.7",65.3,"keojj","hoxm0"
"uo0cp",2,"19.6",56.4,"i27nx","cs5hz"
"b1kdz",2,"75.8",65,"ooh1d","dtv3m"
"yld0n",2,"31.2",62.6,"wobat","rfczg"
"filgf",2,"34.7",65.7,"km2rs","e4fbp"
"rmd7r",1,"24.3",NA,NA,NA
"evakz",1,"20.8",54.5,"fvg8x","ddwuu"
"wp6fj",1,"26.2",NA,"e9ndq","ci26y"
"qj6wu",1,"27.5",64.5,"us0ev","ryiap"
"tiv98",2,"31.5",NA,"y4h1b","d8ijc"
"na778",1,"86.7",54.5,"gh0c6","uexky"
"f97pv",2,"24.7",NA,"us0ev","ryiap"
"pw2dt",2,"21.7",NA,"bhgk5","suao5"
"auown",1,"26.3",65.2,"uol70","p4rca"
"eg098",2,"31.1",65.1,"keojj","hoxm0"
"c0du5",2,"24.7",72,"uol70","p4rca"
"d3bap",1,"72.5",NA,"xvo0y","xnmsg"
"m3x97",1,"27.8",NA,"joe76","r7qjl"
"yzb3o",1,"37.8",82,"f6uo6","b1kdz"
"xojwc",2,"49.0",59.8,"grso8","ch2an"
"st4kv",2,"63.0",62.1,"ud3ru","l9ley"
"batjg",1,"70.0",54,"rrf6a","n8ret"
