"id","male","age","ed","idf","agef","edf","code","idm","agem","edm"
"z6rgz",1,30,9,"b45ws",59,5,"fs",NA,NA,NA
"pwndw",0,40,0,NA,NA,NA,"md","cvjyy",57,0
"axdeo",0,40,12,NA,NA,NA,"md","jc5d9",70,0
"gnu27",1,31,6,NA,NA,NA,"ms","c1q2w",64,2
"mlwlr",0,24,6,"aqry0",76,0,"fd",NA,NA,NA
"wjq2w",1,34,0,"z5vjj",65,9,"fs",NA,NA,NA
"ape8n",1,29,6,NA,NA,NA,"ms","hpcil",52,0
"fe3de",0,22,15,NA,NA,NA,"md","rsjod",52,6
"ox6lt",0,34,0,"f262g",69,0,"fd",NA,NA,NA
"d8if8",0,43,0,NA,NA,NA,"md","yuyda",69,0
"yjmd6",0,24,9,NA,NA,NA,"md","nlc2e",45,0
"zjk5w",1,25,9,NA,NA,NA,"ms","cvjyy",57,0
"f04oq",0,56,0,NA,NA,NA,"md","tyj60",77,0
"ucz1f",0,43,0,NA,NA,NA,"md","rz0al",71,0
"tsudt",0,24,6,"kfyoa",52,0,"fd",NA,NA,NA
"by9bq",0,35,9,"isbkk",72,15,"fd",NA,NA,NA
"ym2j9",0,31,6,NA,NA,NA,"md","vwxsy",61,0
"q4rpb",1,44,9,NA,NA,NA,"ms","dchvt",70,0
"o9x3w",1,32,0,NA,NA,NA,"ms","v8m8j",64,0
"izzo7",0,21,7,NA,NA,NA,"md","md3cf",45,0
"rlxlp",0,34,0,NA,NA,NA,"md","uhbch",61,0
"oyxao",1,25,4,"ju28f",60,0,"fs",NA,NA,NA
"efdup",0,38,0,NA,NA,NA,"md","qgg2k",62,0
"inmo2",0,35,5,NA,NA,NA,"md","u5lcy",58,0
"xqo24",0,40,0,NA,NA,NA,"md","e1ss0",61,0
"fqos0",1,36,6,NA,NA,NA,"ms","d17jl",57,0
"yyceg",0,31,0,NA,NA,NA,"md","xnz82",58,0
"yjyv2",0,25,4,"m9uvu",56,0,"fd",NA,NA,NA
"irm8i",0,40,9,NA,NA,NA,"md","sv29k",75,0
"ghdgd",1,35,6,"dm5v0",60,0,"fs",NA,NA,NA
"bk0xu",1,34,9,NA,NA,NA,"ms","rsjod",52,6
"kzl50",1,26,9,"s24zr",50,9,"fs",NA,NA,NA
"z61t5",1,38,12,NA,NA,NA,"ms","dd0mp",67,0
"fk962",1,55,6,NA,NA,NA,"ms","swfpz",80,0
"tryw8",1,30,0,NA,NA,NA,"ms","qgg2k",62,0
"ko7qo",0,39,9,NA,NA,NA,"md","iaj7v",66,0
"fcn3p",0,21,6,"fcii8",42,5,"fd",NA,NA,NA
"txdzz",1,17,11,"tg1xw",39,9,"fs",NA,NA,NA
"oz1kl",0,22,15,NA,NA,NA,"md","fl02b",48,2
"zvyj1",0,22,14,NA,NA,NA,"md","mk5hj",63,0
"kn74n",0,43,0,NA,NA,NA,"md","lfqwc",71,0
"yh4m4",0,38,12,NA,NA,NA,"md","vwxsy",61,0
"zfm7e",1,36,9,NA,NA,NA,"ms","w5u0x",68,0
"calad",0,21,12,NA,NA,NA,"md","febh0",46,0
"lv46m",0,33,0,NA,NA,NA,"md","blmp6",80,0
"bv3sh",0,37,5,NA,NA,NA,"md","l1wk4",67,0
"tfax1",1,61,6,NA,NA,NA,"ms","rp5vu",83,0
"xcths",0,26,15,"xzied",55,15,"fd",NA,NA,NA
"tvzv7",1,45,4,NA,NA,NA,"ms","jc5d9",70,0
"ycgz2",1,27,6,"w6d0n",54,6,"fs",NA,NA,NA
"q4iu2",0,32,9,"botsj",58,6,"fd",NA,NA,NA
"dyya2",1,40,9,NA,NA,NA,"ms","l1wk4",67,0
"a113y",1,38,0,"yvzpn",65,0,"fs",NA,NA,NA
"tbp4r",0,34,12,NA,NA,NA,"md","y3jc9",66,0
"vto3q",0,35,9,NA,NA,NA,"md","e5j0g",70,0
"wwngg",1,34,6,NA,NA,NA,"ms","v8m8j",64,0
"jtksg",1,60,6,NA,NA,NA,"ms","swfpz",80,0
"g6389",1,31,9,"vju3z",78,0,"fs",NA,NA,NA
"dd70m",0,20,12,NA,NA,NA,"md","hbo87",42,6
"j2i1x",1,19,9,NA,NA,NA,"ms","m4bfw",43,0
"bn1xz",1,17,12,NA,NA,NA,"ms","g9aac",37,0
"nur2u",0,32,0,"olivu",56,0,"fd",NA,NA,NA
"q9jy3",1,23,4,NA,NA,NA,"ms","cjxd3",52,5
"w7cjd",0,22,9,NA,NA,NA,"md","fb2zx",44,9
"uzo8w",1,47,2,NA,NA,NA,"ms","przl7",72,0
"gb1gf",0,18,9,NA,NA,NA,"md","zwinv",37,0
"hv97b",0,23,6,NA,NA,NA,"md","npvvy",74,0
"dsf6a",1,19,12,"b0r78",40,6,"fs",NA,NA,NA
"x3fsa",1,33,0,NA,NA,NA,"ms","xsde5",53,0
"xjgro",0,17,12,NA,NA,NA,"md","h5lg9",37,0
"rekni",0,41,0,NA,NA,NA,"md","lbyab",66,0
"qew2w",0,38,0,NA,NA,NA,"md","e25ge",75,0
"prfrm",0,50,0,NA,NA,NA,"md","iz5py",79,0
"cxqum",1,35,9,NA,NA,NA,"ms","e5j0g",70,0
"gjc2m",1,25,6,NA,NA,NA,"ms","o2rm6",51,0
"bpxa2",1,38,0,"g4jvl",70,5,"fs",NA,NA,NA
"qihjt",0,28,9,NA,NA,NA,"md","ohduy",61,3
"mgdsz",1,25,6,NA,NA,NA,"ms","xo1dk",42,0
"qzgpy",1,44,6,NA,NA,NA,"ms","rnixx",61,0
"lzemt",1,25,12,NA,NA,NA,"ms","pb5kv",43,0
"a2rk4",0,40,9,NA,NA,NA,"md","e5j0g",70,0
"gdjni",0,44,0,NA,NA,NA,"md","yn5mn",72,0
"w03p1",0,35,12,NA,NA,NA,"md","olzd0",67,0
"a113y",1,38,0,NA,NA,NA,"ms","tugwy",62,0
"u2j81",0,24,9,NA,NA,NA,"md","hniud",65,0
"tpzqw",0,21,9,NA,NA,NA,"md","vl4up",38,0
"e9fmr",0,19,6,"edj85",37,0,"fd",NA,NA,NA
"cddqt",1,43,0,NA,NA,NA,"ms","waqhp",80,0
"uc6cw",1,36,9,NA,NA,NA,"ms","przl7",72,0
"vz93l",0,19,9,NA,NA,NA,"md","qnpir",42,0
"xbect",0,41,0,NA,NA,NA,"md","npvvy",74,0
"xhkjg",0,27,0,"nbecg",62,0,"fd",NA,NA,NA
"em0w0",1,25,9,"wtlmm",49,6,"fs",NA,NA,NA
"bmqvl",0,19,10,"fcii8",42,5,"fd",NA,NA,NA
"s9w04",0,35,0,NA,NA,NA,"md","g7gzw",75,0
"ns9mr",1,34,12,NA,NA,NA,"ms","yurld",73,0
"e3tq7",0,19,6,"w7u89",41,0,"fd",NA,NA,NA
"uj2xa",1,42,0,NA,NA,NA,"ms","vykrb",77,0
"vqv52",1,27,16,"mrl9x",50,6,"fs",NA,NA,NA
"otq15",1,39,0,NA,NA,NA,"ms","mkyvm",75,0
"m9hyu",1,45,9,"isbkk",72,15,"fs",NA,NA,NA
"lwxj5",0,48,0,NA,NA,NA,"md","jc5d9",70,0
"spflh",1,33,3,NA,NA,NA,"ms","g7gzw",75,0
"tqdjd",0,32,0,NA,NA,NA,"md","sv29k",75,0
"ht7ff",0,41,0,NA,NA,NA,"md","c1q2w",64,2
"efbyj",1,39,0,NA,NA,NA,"ms","qbvjo",61,0
"vp4k0",0,34,6,NA,NA,NA,"md","mrlhx",72,0
